ID_business,industry,source
1,Fashion & Retail,LVMH
2,Automotive,Tesla and SpaceX
3,Technology,Amazon
4,Technology,Oracle
5,Finance & Investments,Berkshire Hathaway
6,Technology,Microsoft
7,Media & Entertainment,Bloomberg LP
8,Telecom,Telecom
9,Diversified,Diversified
10,Technology,Microsoft
11,Fashion & Retail,LOreal
12,Technology,Google
13,Fashion & Retail,Zara
14,Technology,Google
15,Food & Beverage,Beverages and pharma
16,Technology,Facebook
17,Diversified,Koch Industries
18,Diversified,Koch Industries
19,Fashion & Retail,Walmart
20,Fashion & Retail,Walmart
21,Fashion & Retail,Walmart
22,Media & Entertainment,Media
23,Technology,Dell Technologies
24,Diversified,Infrastructure commodities
25,Fashion & Retail,Nike
,,
