citiCountry,region ,state,city,latitude,longitude
India,,,Ahmedabad,20.593684,78.96288
United States,Texas,South,Fort Worth,37.09024,-95.712891
China,,,Beijing,35.86166,104.195397
United States,Arkansas,South,Bentonville,37.09024,-95.712891
United States,Texas,South,Austin,37.09024,-95.712891
United States,Oregon,West,Hillsboro,37.09024,-95.712891
United States,Washington,West,Hunts Point,37.09024,-95.712891
Spain,,,La Coruna,40.463667,-3.74922
United States,Hawaii,West,Lanai,37.09024,-95.712891
United States,California,West,Los Altos,37.09024,-95.712891
United States,Washington,West,Medina,37.09024,-95.712891
Mexico,,,Mexico City,23.634501,-102.552784
India,,,Mumbai,20.593684,78.96288
United States,New York,Northeast,New York,37.09024,-95.712891
United States,Nebraska,Midwest,Omaha,37.09024,-95.712891
United States,California,West,Palo Alto,37.09024,-95.712891
France,,,Paris,46.227638,2.213749
Canada,,,Toronto,56.130366,-106.346771
United States,Kansas,Midwest,Wichita,37.09024,-95.712891
