id_business,id_location,industry,source
1,17,Fashion & Retail,LVMH
2,5,Automotive,Tesla and SpaceX
3,11,Technology,Amazon
4,9,Technology,Oracle
5,15,Finance & Investments,Berkshire Hathaway
6,11,Technology,Microsoft
7,14,Media & Entertainment,Bloomberg LP
8,12,Telecom,Telecom
9,13,Diversified,Diversified
10,7,Technology,Microsoft
11,17,Fashion & Retail,LOreal
12,16,Technology,Google
13,8,Fashion & Retail,Zara
14,10,Technology,Google
15,3,Food & Beverage,Beverages and pharmaceuticals
16,16,Technology,Facebook
17,19,Diversified,Koch Industries
18,14,Diversified,Koch Industries
19,4,Fashion & Retail,Walmart
20,4,Fashion & Retail,Walmart
21,2,Fashion & Retail,Walmart
22,18,Media & Entertainment,Media
23,5,Technology,Dell Technologies
24,1,Diversified,Infrastructure and commodities
25,6,Fashion & Retail,Nike
